 Gracias por continuar con nosotros aquí en la televisión pública, amigos, vamos a recibir a Camilo de Lely, es
un gusta recibirte Camilo nuevamente con este tema que anunciábamos hace instantes. Igualmente buenas noches, buenas noches para todos. Si
se viene llevando a cabo desde el abro de 19, frente a la Torrejecutiva, una concentración de la plataforma animalista,
colectivo que reúne a más de 30 defensores de animales. La movilización obedece al rechazo que ha causado en plataforma
animalista, la eventual instauración nuevamente de la perra en nuestro país y además están en contra de un proyecto de
ley presentado por el senador Sebastián Dacilo a cerca de que policías similitares podrían estar habilitados a sacrificar a todos
aquellos perros que en los campos conformando jaurías atacan a las majadas a los rebanios. Pero si le parece, vemos
en siguiente informe. El colectivo denuncia que sectores rurales están presionando el gobierno para exterminar a los animales, tomando los
perros abandonados como plagas y proponiendo su persecución y sacrificio. La representante de plataforma animalista, Patricia Durán, se manifestó de
acuerdo en capturar a estos animales y llevarlos a refugios, pero no con darle muerte. Nosotros desde hace bastante tiempo
que venimos reuniándonos con diferentes legisladores, seguiremos saciéndolo con nuestras propuestas, tenemos proyectos, incluso tenemos algunos proyectos de ley presentados.
Uno muy interesante que también tiene que ver con toda esta problemática, es la tipificación de delito al maltrato animal
hoy en día, no están el código penal, ni maltratar, ni asesinar, ni abandonar un animal. Justamente porque no hay
ningún tipo de consecuencias en el comportamiento humano, en la irresponsabilidad humana, es también que nos encontramos en esta situación.
Es una ley que debería aprobarse en cuanto antes con todo este paquete de medidas para ver las soluciones que
realmente todos estamos buscando. Mientras tanto el director nacional de bienestar animal, Gastón Cosia, aseguró que no se volverá a
los sistemas de los años 60, porque dijo que están perimidos, eran crueles y no figuran en el compromiso político
del gobierno para el tratamiento de estos temas. A través de cada perro problemático hay una negligencia humana, sostuvo Cosia
y anunció que Uruguay será pionero en Latinoamérica en tres o cuatro años, con 100 mil castraciones y la colocación
de 250 mil microchips por año, de forma gratuita, para tener trazabilizado cada canino en el país. Hay una tarea
enorme que tenemos que llevar adelante de fiscalización, desanciones y reitero de esa conciencia agropecuaria que tenemos que promover en
donde en el ámbito rural un perro fuera de control, como bien dice el artículo 125 de código rural, puede
generar muchísimos daños y por eso es que se habilita al productor rural a poder disponer incluso de la muerte
de ese perro si el animal está dentro de su prello, por el enorme impacto que puede tener un perro
sin control en un establecimiento productivo. La polémica sigue planteada porque por el lado de los animalistas ellos consideran que
estos perros son recuperables, que si son separados y no conforman, jauría vuelven nuevamente a ser domesticados. Pero es una
pregunta que le hicimos también a Cosia, el director de Bienestar Animal y nos dijo que es una pregunta de
difícil respuesta que un animal así el bestrado pueda ser nuevamente domesticado. Buena pregunta para los etólogos, los especialistas en
comportamiento animal, muchísimas gracias por todo el informe. Gracias, Camilo. Gracias, Camilo. Vamos a ver ahora cómo va a estar
el tiempo sobre todo que se nos viene el fin de semana. No, él. ¿Cómo vendrá la cosa por la
realidad? Sí, parece que de frío. Sí, pero con sol. ¿Qué quiere que le diera? Entonces ahí empieza un campo
de matices. Pero se terminó la ola. Muy interesante. Por un número de hechos, que era hasta el jueves, el
lado del lado, después empezaba a flujar. No, el cine, no. Bueno, y esa sí, no, ya comienza. Hoy tuvimos
una temperatura muy disfrutable, muy agradable, buena presencia en sol. Y bueno, y ya para los próximos días mañana, por
ejemplo, un sado a que va a tener un comienzo jornada muy frío, todavía con el lado. Pero durante ni
de las temperaturas muy disfrutables, agradables. Y más de 15, dice, grados aquí en la capital, 18 a 21 grados
sobre norte, el país y en los próximos días prácticamente que seguimos con condiciones muy similares. Las temperaturas van a
comenzar a ascender en forma gradual. Y estas condiciones se van a mantener prácticamente durante la próxima semana con muy
buena presencia en sol. Hay que todavía esperar a conelada en la madrugada de Domingo, pero de ahí en más,
vamos a lo tardar que también las temperaturas mínimas comienzan a moderarse. Y esto va a estar generando, como le
decíamos, jornadas que van a presentarse ya promediando la semana, aunque ustedes parezcarrán el luego del frío intenso como pasado,
bueno, jornadas cálidas sobre norte, el país y templadas en el resto del territorio. En capital y área metropolitana, también
aquí lo que les decía, ¿no? Temperaturas que durante el fin de semana van a estar ubicándose en el tono
14 a 16 grados sobre la zona costera, la capital. La noche van a tener temperaturas de 4 a 16
grados y a media que abancemos en la semana, las temperaturas van a ir avanzando y también aquí vamos a
notar. Temperaturas muy disfrutables ya promediando la próxima semana, Leo Gabriela. ¿Qué agradable y todo ese pronóstico? Muchísimas gracias, novel.
Los dejamos por acá, cerramos acá a nuestro trabajo, los invitamos como siempre, a seguir en el canal, ya viene
toda la transmisión nuevamente de los juegos solíticos. ¿Qué pasen bien? Gracias. Muy bien. 
