 Por lo que nos tenemos que ir rápido al Parlamento, allí está Mónica de León. Dale, dale. Adelante. Gabileo,
hace pocos minutos terminó una reunión que los legisladores de la coalición de gobierno mantuvieron con el ministro del Interior
Luis Alberto J. Verpuntualmente y entre otros temas por el artículo 72, el que modificaba la información, la propósito de
la acceso a la información, a propósito de los cultivadores de cannabis. Estamos con él, diputado con rhodríguez del Partido
Colorado. Muchas gracias en medio de una votación importante por atendernos. ¿Cómo se sale adelante de este artículo? Bueno, tuvimos
una muy buena intercambio con el ministro J. Verp, allí lo que sabió con respecto al tema de los clubes
canábicos, lo que le interesa el ministro de Interior son las direcciones, es la ubicación de los mismos. El ministro
lo ha explicado realmente de forma muy clara cuando vino a comisión. Por ejemplo, cuando sobrevuela del coptero de la
policía no sabe si una plantación es legal o ilegal. Entonces eso hace que la policía tenga que hacer determinados
procedimientos que cuando llega al lugar, le terminan diciendo que tiene un registro y que es legal y que en
definitiva no tenían ningún sentido de que hicieran ese procedimiento. Es por esto que ellos quieren tener las direcciones. Y
en el día de ayer que vino la Junta Nacional de drogas, específicamente sus secretarios, el doctor Daniel Radío, dijo
claramente de que las direcciones la iba a tener, la si va a tener el ministerio del interior. Por lo
tanto, entendía a radio de que no tenía sentido de que estos tuvieran en la rendición de cuentas. Lo olio
a decir varias veces en varias oportunidades y en ese sentido fue el intercambio que tuvimos con el ministro. Probablemente,
vió con muy buenos ojos lo que dijo Radío, así que en las próximas horas la bancada de la coalición
va a tomar una definición final con respecto a este artículo. ¿Qué podría ser eliminado del presupuesto? Podría ser el
retirado de este artículo de la rendición de cuentas, pero obviamente no nos queremos aventurar porque queremos tener esa reunión
que seguramente va a ser el día viernes en la cual vamos a discutir todos los artículos de la rendición
de cuentas y uno de ellos justamente va a ser este. Ya tenemos de alguna manera hallanado el camino, hay
una conformidad a proparte del ministro Jevar, hay una afirmación pública por parte del doctor Daniel Radío, pero necesitamos obviamente
tener un intercambio interno dentro de la coalición. Antes de dejarlo y en dos palabras, ¿qué es lo que se
acaba de votar que también es muy importante? Bueno, se está votando el proyecto de ley que tiene que ver
con las oportunidades laborales para determinados colectivos, colectivos que tienen que ver con las edades, ¿no? Sobre todo para la
gente más joven y aquellos que tienen más de 45 años y que se les ha complicado la posibilidad de
reincorporarse al marcado de laboral, sean una cantidad de incentivos para las empresas, justamente para poder tomar a estos trabajadores,
así que realmente es muy importante esta votación. Muchas gracias y ya tiene una votación, una aprobación en la Cámara
de Senadores, por lo tanto, cuando se apruebe hoy en la Cámara de Diputados, sí se aprueba a simulificaciones, rápidamente
podrá ser promulgado e implementado de esta manera, nos despedimos del Parlamento de la República. Muchas actividades, nos encontramos mañana.
Un gusto tener temónica, muchas gracias. Vamos ahora con el capítulo deportivo nuevamente, con solidad. Hablamos un poco del campeonato
local porque ha faltado tres fechas para que finalice la apertura son tres los equipos que tienen posibilidades de coronarse
el campeon. Uno de ellos al líder, Plaza Colonia, que el próximo lunes va a estar recibiendo a Boston River.
La sacolonia, el líder con 29 puntos, deberá jugar dos partidos de local y uno como visita y parece tener
en los papeles el camino menos incómodo rumbo al Seattle, deberá enfrentar la próxima fecha a Boston River como local
y si está la Wondra, la haricera en el viernes cerrará como local ante rentistas, enfrentan como local en el
Brandy a dos de los equipos de floja campaña, están en el último tercio de la tabla de posiciones y
no al logrado estabilizarse, aunque tienen como matis, que los dos han levantado en la última parte del campeonato. Rentista
